latitude,longitude
51.2868,-0.5103
51.2868,-.4958
51.2868,-.4813
51.2868,-.4668
51.2868,-.4523
51.2868,-.4378
51.2868,-.4233
51.2868,-.4088
51.2868,-.3943
51.2868,-.3798
51.2868,-.3653
51.2868,-.3508
51.2868,-.3363
51.2868,-.3218
51.2868,-.3073
51.2868,-.2928
51.2868,-.2783
51.2868,-.2638
51.2868,-.2493
51.2868,-.2348
51.2868,-.2203
51.2868,-.2058
51.2868,-.1913
51.2868,-.1768
51.2868,-.1623
51.2868,-.1478
51.2868,-.1333
51.2868,-.1188
51.2868,-.1043
51.2868,-.0898
51.2868,-.0753
51.2868,-.0608
51.2868,-.0463
51.2868,-.0318
51.2868,-.0173
51.2868,-.0028
51.2868,.0117
51.2868,.0262
51.2868,.0407
51.2868,.0552
51.2868,.0697
51.2868,.0842
51.2868,.0987
51.2868,.1132
51.2868,.1277
51.2868,.1422
51.2868,.1567
51.2868,.1712
51.2868,.1857
51.2868,.2002
51.2868,.2147
51.2868,.2292
51.2868,.2437
51.2868,.2582
51.2868,.2727
51.2868,.2872
51.2868,.3017
51.2868,.3162
51.2868,.3307
51.2958,-0.5103
51.2958,-.4958
51.2958,-.4813
51.2958,-.4668
51.2958,-.4523
51.2958,-.4378
51.2958,-.4233
51.2958,-.4088
51.2958,-.3943
51.2958,-.3798
51.2958,-.3653
51.2958,-.3508
51.2958,-.3363
51.2958,-.3218
51.2958,-.3073
51.2958,-.2928
51.2958,-.2783
51.2958,-.2638
51.2958,-.2493
51.2958,-.2348
51.2958,-.2203
51.2958,-.2058
51.2958,-.1913
51.2958,-.1768
51.2958,-.1623
51.2958,-.1478
51.2958,-.1333
51.2958,-.1188
51.2958,-.1043
51.2958,-.0898
51.2958,-.0753
51.2958,-.0608
51.2958,-.0463
51.2958,-.0318
51.2958,-.0173
51.2958,-.0028
51.2958,.0117
51.2958,.0262
51.2958,.0407
51.2958,.0552
51.2958,.0697
51.2958,.0842
51.2958,.0987
51.2958,.1132
51.2958,.1277
51.2958,.1422
51.2958,.1567
51.2958,.1712
51.2958,.1857
51.2958,.2002
51.2958,.2147
51.2958,.2292
51.2958,.2437
51.2958,.2582
51.2958,.2727
51.2958,.2872
51.2958,.3017
51.2958,.3162
51.2958,.3307
51.3048,-0.5103
51.3048,-.4958
51.3048,-.4813
51.3048,-.4668
51.3048,-.4523
51.3048,-.4378
51.3048,-.4233
51.3048,-.4088
51.3048,-.3943
51.3048,-.3798
51.3048,-.3653
51.3048,-.3508
51.3048,-.3363
51.3048,-.3218
51.3048,-.3073
51.3048,-.2928
51.3048,-.2783
51.3048,-.2638
51.3048,-.2493
51.3048,-.2348
51.3048,-.2203
51.3048,-.2058
51.3048,-.1913
51.3048,-.1768
51.3048,-.1623
51.3048,-.1478
51.3048,-.1333
51.3048,-.1188
51.3048,-.1043
51.3048,-.0898
51.3048,-.0753
51.3048,-.0608
51.3048,-.0463
51.3048,-.0318
51.3048,-.0173
51.3048,-.0028
51.3048,.0117
51.3048,.0262
51.3048,.0407
51.3048,.0552
51.3048,.0697
51.3048,.0842
51.3048,.0987
51.3048,.1132
51.3048,.1277
51.3048,.1422
51.3048,.1567
51.3048,.1712
51.3048,.1857
51.3048,.2002
51.3048,.2147
51.3048,.2292
51.3048,.2437
51.3048,.2582
51.3048,.2727
51.3048,.2872
51.3048,.3017
51.3048,.3162
51.3048,.3307
51.3138,-0.5103
51.3138,-.4958
51.3138,-.4813
51.3138,-.4668
51.3138,-.4523
51.3138,-.4378
51.3138,-.4233
51.3138,-.4088
51.3138,-.3943
51.3138,-.3798
51.3138,-.3653
51.3138,-.3508
51.3138,-.3363
51.3138,-.3218
51.3138,-.3073
51.3138,-.2928
51.3138,-.2783
51.3138,-.2638
51.3138,-.2493
51.3138,-.2348
51.3138,-.2203
51.3138,-.2058
51.3138,-.1913
51.3138,-.1768
51.3138,-.1623
51.3138,-.1478
51.3138,-.1333
51.3138,-.1188
51.3138,-.1043
51.3138,-.0898
51.3138,-.0753
51.3138,-.0608
51.3138,-.0463
51.3138,-.0318
51.3138,-.0173
51.3138,-.0028
51.3138,.0117
51.3138,.0262
51.3138,.0407
51.3138,.0552
51.3138,.0697
51.3138,.0842
51.3138,.0987
51.3138,.1132
51.3138,.1277
51.3138,.1422
51.3138,.1567
51.3138,.1712
51.3138,.1857
51.3138,.2002
51.3138,.2147
51.3138,.2292
51.3138,.2437
51.3138,.2582
51.3138,.2727
51.3138,.2872
51.3138,.3017
51.3138,.3162
51.3138,.3307
51.3228,-0.5103
51.3228,-.4958
51.3228,-.4813
51.3228,-.4668
51.3228,-.4523
51.3228,-.4378
